SALAS,MATUTINO,,,,,CC 2ª,VESPERTINO,,,,,,NOTURNO,,,,,ADM 3ª,SÁBADO,CADEIRAS
203,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,,,,,,,,FIL – 4ª,FIL – 4ª,FIL – 4ª,FIL – 4ª,FIL – 4ª,,,50
204,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,,FIL – 6ª,FIL – 6ª,FIL – 6ª,FIL – 6ª,,,,50
205 – 2 quadros,,,,,PROFMAT,,PPGFIL,LETR – 9ª,,LETR – 10ª,,,PPGEO,FIL – 8ª,FIL – 8ª,FIL – 8ª,MAT – TODASª,,CC – 8ª,50
206,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,,,50
207 – 2 quadros,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,CS – 6ª,CS – 6ª,CS – 6ª,CS – 6ª,CS – 6ª,,,50
208,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,,,50
209 – 2 quadros,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,,,50
210,,ADM – 8ª – extra,,ENF – 10ª,AGR – 8ª extra 2,,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,,,50
301  – 2 quadros,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,ENG – 6ª,,CC – 1ª,CC – 1ª,CC – 1ª,CC – 1ª,CC – 1ª,,,50
302 – 2 quadros,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,AGR – 8ª,,CC – 3ª,CC – 3ª,CC – 3ª,CC – 3ª,CC – 3ª,,,50
303 – 2 quadros,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 4ª,AGR – 4ª,,LETR – PIN,,CC – 8ª,,,,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,,,50
304 – 2 quadros,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,AGR – 6ª,,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,,CC – 7ª,CC – 7ª,CC – 7ª,CC – 7ª,CC – 7ª,,,50
305 – 2 quadros,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,dois monitores realizem atendimentos relacionados ao projeto de monitoria em química e física – arlindo,,CC – 4ª,CC – 4ª,CC – 4ª,CC – 4ª,CC – 4ª,,CS – 8ª,CS – 8ª,CC – 9ª,CC – 9ª,CC – 9ª,,,50
308 – 2 quadros,ADM – 2ª,ADM – 2ª,ADM – 2ª,ADM – 2ª,ADM – 2ª,,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,,LETR – PIN,LETR – PIN,LETR – PIN,LETR – PIN,Cc 2 fase – turma extra algoritmo,,,50
309 – 2 quadros,,CC – 2ª,,CC – 2ª,AGR – 8ª extra 1,,CC – 2ª – extra – digitais e estrutura,Línguas – curso de línguas – anglo – francofilo,,CC – 2ª – extra – digitais e estrutura,,,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,,,50
310 – 2 quadros,CC – 4ª,PPGEO,CC – 4ª,PPGEO,PPGEO,,PPGEO,PPGEO,PPGEO,PPGEO,PPGEO,,GEO – 6ª,GEO – 6ª,GEO – 6ª,GEO – 6ª,GEO – 6ª,,,50
BLOCO C,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,
301,,,,,,,,,,,,,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,,,40
302,,,,,,,,,,,,,PPGE,PPGE,PED – REOFERTA,,PED – REOFERTA,,,40
303,,,,,,,,,,,,,,PED – 3ª,CS – 8ª EXTRA,PED – 3ª,PED – 3ª,,,40
311,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,MED – 7ª,,MED – 7ª,MED – 7ª,MED – 7ª,MED - Prof. Werner André Weissheimer,,,,40
312,,,,,,,,,,,,,CS – 2ª,CS – 2ª,CS – 2ª,CS – 2ª,CS – 2ª,,,40
313,,,,,,,,,,,,,CS – 4ª,Ari Söthe,CS – 4ª,CS – 4ª,CS – 4ª,,Ari Söthe,40
105,,,,,,,,Diego Anderson Hoff,,,Diego Anderson Hoff,,ADM – 1ª,ADM – 1ª,ADM – 1ª,ADM – 1ª,ADM – 1ª,,,105
