SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
207 – 2 quadros,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,,,,,,,,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,,,50
208,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,,,50
209 – 2 quadros,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,,,50
210,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,,FIL – 9ª,,,,,,,50
301  – 2 quadros,,,,,,,CC – 7ª,CC – 7ª (vesp+not),,CC – 7ª (vesp+not),,,GEO – 1ª,MED – 2ª,MED – 2ª,,GEO – 1ª,,,50
302 – 2 quadros,AGRO – 3ª,,AGRO – 3ª,AGRO – 3ª,AGRO – 3ª,,,AGRO – 3ª,AGRO – 3ª,AGRO – TF,AGRO – 3ª,,GEO – 3ª,MED – 6ª,MED – 6ª,MED – 8ª,GEO – 3ª,,,50
303 – 2 quadros,AGRO – 5ª,AGRO – 5ª,AGRO – 5ª,AGRO – 5ª,AGRO – 5ª,,AGRO – 5ª,AGRO – 5ª,,AGRO – 5ª,,,MED – 6ª,GEO – 5ª,GEO – 9ª,GEO – 7ª,GEO – 7ª,,,50
304 – 2 quadros,AGRO – 7ª,AGRO – 7ª,AGRO – 7ª,AGRO – 7ª,AGRO – 7ª,,AGRO – 7ª,AGRO – 7ª,AGRO – 7ª,AGRO – 7ª,,,MED – 8ª,GEO – 7ª +  8ª + 9ª,PIN,,,,,50
305 – 2 quadros,AGRO – 9ª,AGRO – 9ª,AGRO – 9ª,AGRO – 9ª,AGRO – TF,,AGRO – 9ª,AGRO – 9ª,AGRO – 9ª,AGRO – 9ª,AGRO – 9ª,,CC – 8ª,CC – 8ª,CC – 8ª,CC – 8ª,CC – 8ª,,,50
308 – 2 quadros,CC – 5ª,,CC – 3ª,CC – 3ª,CC – 5ª,,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,CC – 5ª,,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,CC – 6ª,,,50
309 – 2 quadros,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,,CC – 3ª,CC – 3ª,CC – 3ª,,CC – 3ª,,MED – 2ª,CC – 4ª,CC – 4ª,CC – 4ª,CC – 4ª,,,50
310 – 2 quadros,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,,,CC – 1ª,,,,,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,CC – 2ª,,,50
BLOCO C,,,,,,,,,,,,,,,,,,,,
