,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,308-A,AGRO - 4 (GCA210_1),AGRO - opt (GEX431_1),AGRO - 4 (GCB130_1),AGRO - 4 (GCA037_1),AGRO - opt (GCA675_1),-,AGRO - 4 (GEX116_2),AGRO - 4 (GCH012_1),-,AGRO - 4 (GCH008_1),AGRO - 9 (GCA282_1),-,-,-,-,-,AGRO - 9 (GCA282_1),-
-,309-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,401-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,407-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,408-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,408-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,105-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,108-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,201-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,202-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,203-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,204-B,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 3 (GCS530_1),ADM - 3 (GCS528_1),ADM - 3 (GEX210_3),-,-,-
-,205-B,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 7 (GCS080_1),ADM - 7 (GCS077_1),ADM - 7 (GCS544_1),ADM - 7 (GCS545_1),ADM - 7 (GCS239_3),-
-,206-B,ADM - 8 (GCS235_1),ADM - 8 (GCS546_1),ADM - 8 (GCS548_1),ADM - 8 (GCS082_1),ADM - 8 (GCS547_1),-,-,-,-,-,-,-,-,ADM - 3 (GCH087_1),-,-,ADM - 3 (GCS531_1),-
-,207-B,ADM - 2 (GCH293_3),ADM - 2 (GCS527_1),ADM - 2 (GEX094_1),ADM - 2 (GCS526_1),ADM - 2 (GCS238_9),ADM - 3 (GCS529_1),-,-,ADM - 9 (GCS552_1),ADM - 9 (GCS552_1),-,-,ADM - 9 (GCS550_1),ADM - 9 (GCS549_1),ADM - 9 (GCS551_1),ADM - 3 (GCS529_1),ADM - 9 (GCS573_1),-
-,208-B,-,-,ADM - opt (GCS556_1),-,-,-,-,-,-,-,-,-,-,ADM - opt (GCS566_1),-,ADM - opt (GCS554_1),-,-
-,209-B,ADM - 6 (GCS072_1),ADM - 6 (GCS541_1),ADM - 6 (GCS543_1),ADM - 6 (GCS081_1),ADM - 6 (GCS542_1),-,-,-,-,-,-,-,ADM - 5 (GCS538_1),ADM - 5 (GCS540_1),ADM - 5 (GCS536_1),ADM - 5 (GCS537_1),ADM - 5 (GCS539_1),-
-,210-B,ADM - 4 (GCS532_1),ADM - 4 (GCS535_1),ADM - 4 (GCS533_1),ADM - 4 (GCS066_1),ADM - 4 (GCS068_1),-,-,-,-,-,-,-,ADM - 1 (GEX212_4),ADM - 1 (GCH290_11),ADM - 1 (GCS534_1),ADM - 1 (GLA104_3),ADM - 1 (GCS525_1),-
-,301-B,-,-,-,-,-,-,-,-,CC - opt (GEX1082_1),CC - opt (GEX1082_1),-,-,CC - opt (GEX635_1),-,-,CC - opt (GEX1083_1),-,-
-,302-B,-,-,-,-,-,-,CC - 2 (GEX178_1) | CC - 4 (GEX613_2),CC - 2 (GEX605_3),CC - 2 (GEX178_1) | CC - 2 (GEX195_1),CC - 2 (GEX605_3),CC - 2 (GEX195_1) | CC - 4 (GEX613_2),-,CC - 2 (GEX605_1),CC - 1 (GEX208_2),CC - 2 (GLA104_2),CC - 1 (GEX003_1),-,-
-,303-B,-,-,-,CC - 9 (GEX657_1),CC - 9 (GEX657_1),CC - 9 (GEX657_1),CC - 2 (GEN253_1),CC - 2 (GEN253_1) | CC - 2 (GEX605_2),-,CC - 2 (GEX055_1) | CC - 2 (GEX605_2),CC - 2 (GEX055_1),-,CC - 7 (GEX395_1),CC - 7 (GCS238_2),CC - 7 (GEX618_1),CC - 7 (GEX107_1),CC - 7 (GEX617_1),-
