,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (12)
203-B,PED - 6,PED - 6,PED - 6,PED - 6,PED - 6,EAS - opt,-,-,EAS - opt,EAS - opt,-,-,PED - 3,PED - 1,PED - 3,PED - 3,PED - 1,-,-
204-B,PED - 4,PED - 2,PED - 2,PED - 2,PED - 2,PED - 2,-,-,-,-,-,-,PED - 1,PED - 7,PED - 7,PED - 7,PED - 9,-,-
205-B,PED - 10,PED - 2,PED - opt,PED - 10,PED - 10,PED - 9,-,-,-,-,-,PED - 9,PED - 9,PED - 9,PED - 9,PED - 9,PED - opt,-,-
206-B,PED - 4,PED - 4,PED - 4,PED - 6,PED - 6,PED - 7,-,-,-,-,-,PED - 7,PED - 7,PED - 3,PED - 7,PED - 7,PED - 3,-,-
207-B,-,-,-,-,-,-,-,-,-,-,-,-,CC - 7,CC - 7,CC - 7,CC - 7,CC - 7,-,-
208-B,-,-,ADM - opt,-,-,-,-,-,-,-,-,-,ADM - 3,ADM - opt,ADM - 3,ADM - opt,ADM - 3,-,-
209-B,-,-,-,-,-,-,-,-,-,-,-,-,CS - 2,CS - 2,ADM - 1,CS - 2,-,-,-
210-B,-,-,-,-,-,-,-,-,-,-,-,-,CC - 3,-FUSÃO: MATEMÁTICA + PEDAGOGIA - 6,CC - 3,CC - 3,-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA  - 8,-,-
301-B,MED - 5,MED - 5,-,MED - 5,MED - 5,-,MED - 5 | MED - 9,MED - 5,MED - 5,MED - 5,MED - 5,GEO - 9,MED - 9,GEO - 6,MED - 5,MED - 5,GEO - 4,-,-
302-B,-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA - 2,-,-,-,PED - 10,-,GEO - 6,GEO - 8,-,-,-,-,GEO - 6,GEO - 8,GEO - 6,GEO - 8,GEO - 8,-,-
303-B,MED - 3,MED - 7,MED - 3,MED - 3,MED - 7,GEO - 2,MED - 7,MED - 3 | MED - 7,MED - 7,MED - 3,MED - 7,-,GEO - 2,GEO - 2,GEO - 2,GEO - 2,GEO - 2,-,-
304-B,MED - 1,MED - 1,MED - 1,MED - 1,MED - 1,GEO - 4,MED - 1,MED - 1,MED - 1,MED - 1,MED - 1,-,GEO - 8,GEO - 4,GEO - 8,GEO - 4,MED - 1,-,-
305-B,CC - 4,CC - 4,-,-,-,FIL - 6,CC - 4,CC - 4,CC - 4,CC - 4,CC - 4,-,FIL - 6,CC - 1,FIL - 6,FIL - 6,FIL - 3,-,-
308-B,-,-,-,CC - 9,CC - 9,CC - 9,CC - 6,CC - 6,CC - 6,CC - 6,CC - 6,-,CC - 5,CC - 5,CC - 5,CC - 5,CC - 5,-,-
309-B,-,-,-,CC - 8,CC - 8,CC - 8,CC - 8,CC - 2,CC - opt,CC - opt | CC - 2,-,-,CC - 3,CC - 3,CC - 2,CC - opt,CC - 3,-,-
310-B,-,-,-,-,-,-,CC - 2,CC - 2,CC - 2,CC - 2,CC - 2,-,CC - 2,CC - 1,CC - 1,CC - 1,CC - 1,-,-
105-C,FIL - 8,AGRO - opt,-,-,AGRO - opt,-,FIL - 9,AGRO - 6 | FIL - 6,-,AGRO - 6 | FIL - 2,AGRO - opt,FIL - 8,FIL - 8,FIL - 6,FIL - 8,FIL - 2,FIL - 8,-,-
220-C,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 5,LETRAS - PIN - opt,ADM - 5,ADM - 5,ADM - 5,-,-
301-C,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 7,ADM - 7,ADM - 7,ADM - 7,ADM - 7,-,-
LAB-CARTOGRAFIA-C,-,-,-,-,-,-,-,-,-,-,-,-,CC - 1,LET - 8,LET - 8,CC - 1,-,-,-
LAB-HIDRO-C,-,-,AGRO - 8,AGRO - 8,-,-,AGRO - 8,AGRO - 8,AGRO - 8,AGRO - 8,-,-,FIL - 4,PED - 7,LETRAS - PIN - opt,LETRAS - PIN - opt,FIL - 4,-,-
MINIAUDITÓRIO-C,MED - 7,-,-,MED - 7,-,-,-,-,EAS - 9,EAS - 9,-,-,-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA - 8,MED - 7,-FUSÃO: GEOGRAFIA + HISTÓRIA - 4,PED - 7,-,-,-
LAB-EST-C,-,-,-,-,-,-,-,-,-,-,-,-,FIL - 2,FIL - 2,FIL - 2,CS - 8,PED - 5,-,-
