,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,303-A,AGRO - 8 (GCA269_1),AGRO - 8 (GCA245_1),AGRO - 8 (GCS073_1),AGRO - 8 (GCA257_1),-,-,AGRO - 8 (GCA224_1),AGRO - 8 (GCS056_1),AGRO - 8 (GCA221_1),AGRO - 8 (GCA255_1),-,-,CS - 4 (GCH1394_1),CS - 4 (GCH1397_1),CS - opt (GCH1420_1),CS - 4 (GCH1395_1),CS - 4 (GCH1396_1),-
-,304-A,-,-,-,-,-,CS - 8 (GCH1409_1),LETRAS - PIN - opt (GCS011_1),CS - 8 (GCH1410_1),EAS - opt (GCA321_1),EAS - opt (GEN204_1),-,CS - 9 (GCH176_1),CS - 2 (GLA102_1),CS - 8 (GCH1410_1),CS - 2 (GCH1388_1),CS - 8 (GCH1460_1),CS - 2 (GCH292_9),CS - 9 (GCH176_1)
-,305-A,AGRO - 6 (GCA250_1),-,-,AGRO - 6 (GEX080_1),-,-,AGRO - 6 (GCS243_1),AGRO - 6 (GCA286_1),AGRO - 6 (GCA241_1),AGRO - 6 (GCA050_1),-,-,CS - 6 (GCH1402_1),CS - 6 (GCH1405_1),CS - 6 (GCH1404_1),CS - 6 (GCH1678_1),CS - 6 (GCH1403_1),-
-,306-A,ENF - 4 (GCB064_2),ENF - 4 (GSA017_1),ENF - 4 (GSA017_1),ENF - 4 (GSA017_1),-,-,ENF - 2 (GCB064_1),ENF - 2 (GSA0303_1),ENF - 2 (GSA0303_1),ENF - 4 (GCB076_1),ENF - 4 (GCB019_2),-,-,HIS - 4 (GCH372_1),HIS - opt (GCH459_1),HIS - 4 (GCH371_1),HIS - 4 (GCH373_1),-
-,307-A,ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),-,-,ENF - 6 (GSA021_1),ENF - 6 (GSA044_1),ENF - 6 (GSA021_1),ENF - 6 (GSA044_1),ENF - 6 (GSA021_1),-,HIS - 2 (GCH290_15),HIS - 2 (GCH291_3),HIS - 2 (GCH366_1),HIS - 2 (GCH365_1),HIS - 2 (GCH367_1),-
-,308-A,HIS - 6 (GCH382_1),ENF - 10 (GSA049_1),ENF - 2 (GSA0304_1),ENF - 2 (GSA0305_1),-,HIS - 6 (GCH381_1),ENF - 10 (GSA047_1),ENF - 10 (GSA047_1),ENF - 10 (GSA047_1),ENF - 10 (GSA047_1),ENF - 10 (GSA047_1),-,HIS - 6 (GCH382_1),HIS - 7 (GLA108_1),HIS - opt (GCH467_1),HIS - 6 (GCH381_1),-,-
-,309-A,ENF - 8 (GSA024_1),ENF - 8 (GSA011_1),ENF - 8 (GSA011_1),ENF - 8 (GSA024_1),AGRO - opt (GCA655_1),LET - 2 (GLA358_1),ENF - 8 (GSA025_1),ENF - 8 (GSA024_1),ENF - 8 (GSA023_1),ENF - 8 (GSA011_1),ENF - 8 (GSA023_1),-,LET - 4 (GLA367_1),LET - 2 (GLA358_1),LET - 2 (GLA358_1),LET - 4 (GLA368_1),LET - 2 (GLA360_1),-
-,401-A,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 5 (GCS538_1),ADM - 5 (GCS540_1),ADM - 5 (GCS536_1),ADM - 5 (GCS537_1),ADM - 5 (GCS539_1),-
-,407-A,-,-,-,-,-,-,-,-,-,-,-,-,LET - 2 (GCS238_4),LET - 2 (GCH290_14),LET - 2 (GLA359_1),LET - 2 (GCH293_5),-,-
-,408-A,-,-,-,-,-,-,-,-,-,-,-,-,CC - 3 (GEX098_1),-,CC - 3 (GEX608_1),CC - 3 (GEX606_1),-,-
