,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (13)
208-B,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,AGRONOMIA 1,-,-,-,AGRONOMIA 1,-,-,AGRONOMIA 3,-,-,MATEMÁTICA 1,CIÊNCIA DA COMPUTAÇÃO 1,ADMINISTRAÇÃO 3,CIÊNCIAS SOCIAIS 1,ADMINISTRAÇÃO 1,-,-
209-B,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,AGRONOMIA 5,PEDAGOGIA 4,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,AGRONOMIA 5 | ENGENHARIA AMBIENTAL E SANITÁRIA 1,AGRONOMIA 1,-,-,-,CIÊNCIA DA COMPUTAÇÃO 2,PEDAGOGIA 1,PEDAGOGIA 1,HISTÓRIA 1,-,-,-
210-B,MEDICINA 1,-,-,ENFERMAGEM 1,AGRONOMIA 1,-,-,-,-,-,-,-,LETRAS 1,MEDICINA 1,ADMINISTRAÇÃO 1,-FUSÃO: FILOSOFIA + MATEMÁTICA 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
301-B,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 13,MEDICINA 1,GEOGRAFIA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,MEDICINA 1,GEOGRAFIA 10,MEDICINA 8,-,-
302-B,-,-,-,-,AGRONOMIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,GEOGRAFIA 1,GEOGRAFIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 8,GEOGRAFIA 8,GEOGRAFIA 1,-,-
303-B,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,GEOGRAFIA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,MEDICINA 1,-,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,-,-
304-B,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,MEDICINA 1,MEDICINA 1,-,MEDICINA 1,-,MEDICINA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 1,GEOGRAFIA 6,-,-
305-B,-,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
308-B,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,FILOSOFIA 1,-,-
309-B,-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA 1,-,-,-,AGRONOMIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1,-,FILOSOFIA 2,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,-,-
310-B,FILOSOFIA 1,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,CIÊNCIA DA COMPUTAÇÃO 3,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 3,CIÊNCIA DA COMPUTAÇÃO 1 | CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIA DA COMPUTAÇÃO 2,FILOSOFIA 1,FILOSOFIA 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-
105-C,-,-,-,-,-,-,FILOSOFIA 1,FILOSOFIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1 | FILOSOFIA 1,-,-,FILOSOFIA 1,FILOSOFIA 1,FILOSOFIA 2,FILOSOFIA 1,FILOSOFIA 1,-,-
220-C,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,LETRAS 1,ADMINISTRAÇÃO 1,ADMINISTRAÇÃO 1,PEDAGOGIA 1,LETRAS 1,-,-
301-C,-,MEDICINA 1,AGRONOMIA 1,AGRONOMIA 3,AGRONOMIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENGENHARIA AMBIENTAL E SANITÁRIA 1 | MEDICINA 1,-,-,-,-,CIÊNCIA DA COMPUTAÇÃO 1,LETRAS - PIN 10,CIÊNCIA DA COMPUTAÇÃO 1,CIÊNCIAS SOCIAIS 1,LETRAS 1,-,-
LAB-CARTOGRAFIA-C,AGRONOMIA 1,AGRONOMIA 1,-,AGRONOMIA 1,-,-,ENFERMAGEM 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,CIÊNCIA DA COMPUTAÇÃO 1,PEDAGOGIA 1,LETRAS 1,CIÊNCIA DA COMPUTAÇÃO 1,-,-,-
LAB-HIDRO-C,-,-,-,PEDAGOGIA 1,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 2,ENGENHARIA AMBIENTAL E SANITÁRIA 2,ENGENHARIA AMBIENTAL E SANITÁRIA 2,-,-,-,PEDAGOGIA 1,ADMINISTRAÇÃO 1,LETRAS - PIN 3,ADMINISTRAÇÃO 3,-,-,-
MINIAUDITÓRIO-C,-,-,PEDAGOGIA 1,AGRONOMIA 4 | ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,-,AGRONOMIA 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,HISTÓRIA 1,-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA 1,ADMINISTRAÇÃO 1,-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA  1,-,-
LAB-EST-C,-,-,PEDAGOGIA 1,AGRONOMIA 2,PEDAGOGIA 1,-,-,-,ENGENHARIA AMBIENTAL E SANITÁRIA 1,ENFERMAGEM 1,AGRONOMIA 1,-,LETRAS 1,FILOSOFIA 3,LETRAS - PIN 4,CIÊNCIA DA COMPUTAÇÃO 1,PEDAGOGIA 1,-,-
